Paire 1;Paire 2;Nb arrets
Moins de 500m eau;Moins de 2 km hippodrome;1
Moins de 500m eau;Moins de 1 km des machines;9
Moins de 500m eau;Moins de 2 km des machines;24
Moins de 500m eau;Moins de 1 km du stade de la Beaujoire;0
Moins de 500m eau;Moins de 2 km du stade de la Beaujoire;0
Moins de 500m eau;Moins de 1 km du parc de proce;0
Moins de 500m eau;Moins de 2 km du parc de proce;2
Moins de 1 km eau;Moins de 1 km du chateau;16
Moins de 1 km eau;Moins de 2 km du chateau;39
Moins de 1 km eau;Moins de 1 km de la Tour Bretagne;13
Moins de 1 km eau;Moins de 2 km de la Tour Bretagne;36
Moins de 1 km eau;Moins de 1 km hippodrome;0
Moins de 1 km eau;Moins de 2 km hippodrome;2
Moins de 1 km eau;Moins de 1 km des machines;9
Moins de 1 km eau;Moins de 2 km des machines;31
Moins de 1 km eau;Moins de 1 km du stade de la Beaujoire;0
Moins de 1 km eau;Moins de 2 km du stade de la Beaujoire;0
Moins de 1 km eau;Moins de 1 km du parc de proce;0
Moins de 1 km eau;Moins de 2 km du parc de proce;7
Moins de 1 km du chateau;Moins de 2 km du chateau;16
Moins de 1 km du chateau;Moins de 1 km de la Tour Bretagne;10
Moins de 1 km du chateau;Moins de 2 km de la Tour Bretagne;16
Moins de 1 km du chateau;Moins de 1 km hippodrome;0
Moins de 1 km du chateau;Moins de 2 km hippodrome;0
Moins de 1 km du chateau;Moins de 1 km des machines;0
Moins de 1 km du chateau;Moins de 2 km des machines;11
Moins de 1 km du chateau;Moins de 1 km du stade de la Beaujoire;0
Moins de 1 km du chateau;Moins de 2 km du stade de la Beaujoire;0
Moins de 1 km du chateau;Moins de 1 km du parc de proce;0
Moins de 1 km du chateau;Moins de 2 km du parc de proce;2
Moins de 2 km du chateau;Moins de 1 km de la Tour Bretagne;13
Moins de 2 km du chateau;Moins de 2 km de la Tour Bretagne;34
Moins de 2 km du chateau;Moins de 1 km hippodrome;0
Moins de 2 km du chateau;Moins de 2 km hippodrome;1
Moins de 2 km du chateau;Moins de 1 km des machines;6
Moins de 2 km du chateau;Moins de 2 km des machines;24
Moins de 2 km du chateau;Moins de 1 km du stade de la Beaujoire;0
Moins de 2 km du chateau;Moins de 2 km du stade de la Beaujoire;0
Moins de 2 km du chateau;Moins de 1 km du parc de proce;0
